Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
74,dFfD6a6F9AC2d9C,Brock-Blackwell,https://dodson-castaneda.net/,United States Virgin Islands,Reverse-engineered mission-critical moratorium,1980,Broadcast Media,2293
32,5c2EffEfdba2BdF,Cherry PLC,https://norris.info/,Guatemala,Reactive attitude-oriented toolset,1990,Online Publishing,2664
44,77aDc905434a49f,Branch-Mann,https://www.burke.net/,Tonga,Fundamental asynchronous capability,2020,Consumer Electronics,4188
17,ccc93DCF81a31CD,"Durham, Allen and Barnes",http://www.blevins-fernandez.biz/,Timor-Leste,Right-sized zero tolerance focus group,1987,Music,3646
19,EB9f456e8b7022a,Crane-Clarke,https://www.daugherty-farley.info/,Reunion,Right-sized clear-thinking flexibility,2002,Farming,2175
24,902D7Ac8b6d476b,Davila Inc,https://mcconnell.info/,Monaco,Face-to-face high-level conglomeration,1982,Newspapers / Journalism,7935
82,ba179F19F7925f5,"Cherry, Le and Callahan",https://norris.info/,Eritrea,Reverse-engineered heuristic alliance,1981,Construction,2658
80,738b5aDe6B1C6A5,"Cherry, Le and Callahan",http://morse.net/,Grenada,Distributed impactful customer loyalty,1980,Facilities Services,2928
58,ccc93DCF81a31CD,Melton-Nichols,http://www.dean.com/,Uzbekistan,Enterprise-wide executive installation,1983,Human Resources / HR,7674
78,c89b9b59BC4baa1,Cherry PLC,https://krueger.org/,South Africa,Secured zero tolerance hub,1981,Computer Software / Engineering,2398
39,61BDeCfeFD0cEF5,Charles-Phillips,http://ross.com/,Finland,Reverse-engineered composite moratorium,2012,Online Publishing,3163
11,8D0c29189C9798B,Miles-Dominguez,http://thomas-french.org/,Liberia,Switchable scalable moratorium,1995,Printing,8588
71,c1Ce9B350BAc66b,Cummings-Rojas,https://www.avila.info/,Mauritius,Face-to-face high-level conglomeration,1981,Food / Beverages,7811
87,b5D10A14f7a8AfE,"Bowers, Guerra and Krause",http://www.blevins-fernandez.biz/,Kyrgyz Republic,Reverse-engineered heuristic alliance,1994,Hospitality,8127
18,7b3fe6e7E72bFa4,Cummings-Rojas,https://norris.info/,Sweden,Secured logistical synergy,2017,Consumer Electronics,8749
19,7b3fe6e7E72bFa4,"Mitchell, Warren and Schneider",https://www.dorsey.net/,Taiwan,Innovative background definition,2018,Consumer Services,7228
16,8cC1bDa330a5871,Newton Inc,https://melton-briggs.com/,United States Virgin Islands,Function-based fault-tolerant concept,2001,Consumer Services,4009
68,77aDc905434a49f,Newton Inc,https://kennedy.com/,South Africa,Reverse-engineered composite moratorium,1983,Civic / Social Organization,2789
72,bC0CEd48A8000E0,"Bowers, Guerra and Krause",https://www.hobbs-grant.com/,Timor-Leste,Streamlined 6thgeneration function,1990,Construction,6741
79,aeBe26B80a7a23c,Brock-Blackwell,https://kennedy.com/,Palau,Re-contextualized dynamic hierarchy,1980,Financial Services,1490
66,EB9f456e8b7022a,Cummings-Rojas,http://thomas-french.org/,Uganda,Synergistic web-enabled framework,2012,Financial Services,6557
27,cBa7EFe5D05Adaf,Charles-Phillips,https://www.daugherty-farley.info/,Guatemala,Face-to-face well-modulated customer loyalty,2016,Religious Institutions,8156
31,E7df80C60Abd7f9,Arroyo Inc,https://reed.info/,Falkland Islands (Malvinas),Right-sized clear-thinking flexibility,2010,Education Management,3471
22,8cC1bDa330a5871,Charles-Phillips,https://www.carr.com/,French Southern Territories,Distributed impactful customer loyalty,2018,Public Safety,7481
75,c1Ce9B350BAc66b,Cuevas-Moss,https://stokes.com/,Taiwan,Self-enabling fresh-thinking installation,2016,Building Materials,2398
71,7D9FBF85cdC3871,Miles-Dominguez,http://www.keith-fisher.com/,Uganda,Extended human-resource intranet,1985,Glass / Ceramics / Concrete,7593
26,738b5aDe6B1C6A5,Odom Ltd,http://www.carrillo-nicholson.com/,Guatemala,Secured foreground emulation,1993,Electrical / Electronic Manufacturing,2090
61,9E6Acb51e3F9d6F,"Durham, Allen and Barnes",http://www.petersen-lawrence.com/,Romania,Enterprise-wide executive installation,2012,Outsourcing / Offshoring,7611
62,dEbDAAeDfaed00A,Charles-Phillips,https://www.burke.net/,South Africa,Reverse-engineered mission-critical moratorium,2017,Education Management,7400
32,AC5B7AA74Aa4A2E,Duffy-Levy,http://stuart.net/,Ethiopia,Reverse-engineered heuristic alliance,2016,Electrical / Electronic Manufacturing,2993
32,ED889CB2FE9cbd3,Branch-Mann,https://reed.info/,Guernsey,Self-enabling fresh-thinking installation,2012,Education Management,3663
62,a0a6f9b3DbcBEb5,Crane-Clarke,https://www.burke.net/,Uganda,Secured logistical synergy,1979,Facilities Services,1819
74,aAeb29ad43886C6,Crane-Clarke,https://frazier.biz/,United States Virgin Islands,Sharable optimal functionalities,1981,Gambling / Casinos,6165
76,FAB0d41d5b5d22c,Bartlett-Arroyo,https://www.carr.com/,Heard Island and McDonald Islands,Secured zero tolerance hub,1990,Capital Markets / Hedge Fund / Private Equity,8413
72,cBfe4dbAE1699da,Brock-Blackwell,https://www.avila.info/,Vietnam,Right-sized zero tolerance focus group,1986,Construction,2729
71,ccBcC32adcbc530,Eaton-Morales,https://stokes.com/,Turkey,Configurable zero administration Graphical User Interface,1990,Construction,3347
73,aeBe26B80a7a23c,"Beasley, Sims and Allison",https://www.daugherty-farley.info/,Guadeloupe,Streamlined 6thgeneration function,2018,Food / Beverages,7693
79,ba179F19F7925f5,Charles-Phillips,https://fox.biz/,Taiwan,Right-sized zero tolerance focus group,1981,Education Management,808
21,f5afd686b3d05F5,Pineda-Cox,http://www.blankenship.com/,Falkland Islands (Malvinas),Realigned didactic function,1992,Education Management,7542
66,aAeb29ad43886C6,Charles-Phillips,https://simon-pearson.com/,Svalbard & Jan Mayen Islands,Reverse-engineered heuristic alliance,1976,Consumer Goods,7246
80,b5D10A14f7a8AfE,Cherry PLC,https://reed.info/,Papua New Guinea,Secured foreground emulation,1972,Gambling / Casinos,3923
35,c1Ce9B350BAc66b,Branch-Mann,https://reed.info/,United Arab Emirates,User-friendly clear-thinking productivity,2013,Electrical / Electronic Manufacturing,3541
25,cBa7EFe5D05Adaf,Charles-Phillips,https://norris.info/,Papua New Guinea,Stand-alone static implementation,2016,Facilities Services,6921
32,5Ec4C272bCf085c,Brock-Blackwell,https://www.bradford.biz/,Heard Island and McDonald Islands,Seamless disintermediate collaboration,2010,Consumer Electronics,4317
16,5c2EffEfdba2BdF,Melton-Nichols,https://www.brooks.com/,United States Virgin Islands,Streamlined 6thgeneration function,1995,International Affairs,2731
83,E7df80C60Abd7f9,Arroyo Inc,https://dodson-castaneda.net/,Suriname,Right-sized zero tolerance focus group,1977,Civil Engineering,2036
72,68139b5C4De03B4,Burch-Ewing,https://www.bolton.com/,South Africa,Secured zero tolerance hub,2008,Consumer Goods,3127
63,ccBcC32adcbc530,Cuevas-Moss,https://www.kidd.org/,Svalbard & Jan Mayen Islands,Stand-alone static implementation,1992,Entertainment / Movie Production,6892
21,738b5aDe6B1C6A5,Carr Inc,https://kennedy.com/,Papua New Guinea,Quality-focused client-server Graphical User Interface,1987,Entertainment / Movie Production,7326
72,4e91eD25f486110,Charles-Phillips,https://ashley-schaefer.com/,Finland,Reverse-engineered heuristic alliance,1978,Farming,2445
74,adcB0afbE58bAe3,Charles-Phillips,http://newman.com/,United States Virgin Islands,Self-enabling multi-tasking process improvement,1981,Consumer Electronics,6555
36,AC5B7AA74Aa4A2E,Montes-Hensley,http://morse.net/,Philippines,Enhanced foreground collaboration,1989,Photography,3753
73,FEC51bce8421a7b,Burch-Ewing,http://ross.com/,Romania,Streamlined 6thgeneration function,1976,Construction,2210
27,c89b9b59BC4baa1,Hahn PLC,https://www.bolton.com/,Guatemala,Stand-alone static implementation,2017,Consumer Services,7449
37,aAeb29ad43886C6,Duffy-Levy,https://mcdowell.org/,El Salvador,Right-sized zero tolerance focus group,1986,Consumer Electronics,3298
22,dF084FbBb613eea,"Dickson, Richmond and Clay",http://www.browning-key.com/,French Southern Territories,Seamless disintermediate collaboration,1994,Newspapers / Journalism,4213
21,c1Ce9B350BAc66b,Burch-Ewing,https://www.hobbs-grant.com/,Finland,Self-enabling multi-tasking process improvement,2009,Printing,8481
17,7D9FBF85cdC3871,Prince-David,https://simon-pearson.com/,Guernsey,Secured logistical synergy,2014,Building Materials,2091
37,68139b5C4De03B4,Cherry PLC,http://www.blankenship.com/,Germany,Reactive attitude-oriented toolset,1994,Construction,2378
65,738b5aDe6B1C6A5,Gaines Inc,http://www.flowers.net/,Taiwan,Front-line systematic help-desk,2012,Newspapers / Journalism,8426
79,738b5aDe6B1C6A5,Cuevas-Moss,http://www.freeman.biz/,Timor-Leste,Proactive foreground paradigm,1980,Electrical / Electronic Manufacturing,1896
64,cBfe4dbAE1699da,Branch-Mann,https://www.bolton.com/,United Arab Emirates,Reverse-engineered mission-critical moratorium,2008,Education Management,7807
32,6A7EdDEA9FaDC52,Crawford-Rivera,http://www.frey-rosario.com/,El Salvador,Fundamental asynchronous capability,2015,Museums / Institutions,3174
29,A0B9d56e61070e3,Pineda-Morton,http://www.blankenship.com/,Uganda,Enhanced foreground collaboration,1994,Semiconductors,2682
30,c89b9b59BC4baa1,Crane-Clarke,https://www.brooks.com/,Ethiopia,Progressive modular hub,2017,Financial Services,7560
18,9E6Acb51e3F9d6F,Melton-Nichols,https://price.net/,Kuwait,Fundamental stable info-mediaries,2021,Outsourcing / Offshoring,8260
62,ce57DCbcFD6d618,Cuevas-Moss,https://www.avila.info/,Turkmenistan,Stand-alone static implementation,1981,Farming,8079
77,4D4d7E18321eaeC,"Eaton, Reynolds and Vargas",https://decker-esparza.com/,French Southern Territories,Right-sized clear-thinking flexibility,1984,Gambling / Casinos,6459
14,7D9FBF85cdC3871,"Eaton, Reynolds and Vargas",http://www.browning-key.com/,Latvia,Progressive modular hub,1985,Outsourcing / Offshoring,3125
64,dd6CA3d0bc3cAfc,Charles-Phillips,https://krueger.org/,United Arab Emirates,Self-enabling multi-tasking process improvement,1986,Computer Software / Engineering,7650
65,cC757116fe1C085,Cuevas-Moss,https://price.net/,Sweden,Self-enabling fresh-thinking installation,2012,Consumer Electronics,1783
20,5c2EffEfdba2BdF,Cherry PLC,https://www.daugherty-farley.info/,Papua New Guinea,De-engineered systemic artificial intelligence,1977,Construction,2551
83,EB9f456e8b7022a,Crane-Clarke,http://www.kirk.biz/,Cote d'Ivoire,Reverse-engineered composite moratorium,2010,Outsourcing / Offshoring,8212
22,7dd18Fb7cB07b65,Ferrell LLC,http://www.lambert.com/,Turkey,Profound client-server frame,2015,Museums / Institutions,3301
36,738b5aDe6B1C6A5,Ferrell LLC,http://www.anderson-barker.com/,Falkland Islands (Malvinas),Secured logistical synergy,1988,Consumer Services,3399
83,4e91eD25f486110,Cherry PLC,https://holden-coleman.net/,Svalbard & Jan Mayen Islands,Synergistic web-enabled framework,1987,Farming,1549
20,8de40AC4e6EaCa4,"Poole, Cruz and Whitney",http://www.lozano.com/,United Arab Emirates,Enhanced foreground collaboration,1996,Non - Profit / Volunteering,8671
34,ba179F19F7925f5,Carr Inc,http://www.archer-elliott.com/,El Salvador,Reactive attitude-oriented toolset,1989,Education Management,7569
